letterboxd_search,Movie
https://letterboxd.com/search/King+David+1985/,"{
    ""title"": ""king-david"",
    ""url"": ""https://letterboxd.com/film/king-david/"",
    ""directors"": [
        ""Bruce Beresford""
    ],
    ""rating"": ""2.96 out of 5"",
    ""year"": ""1985"",
    ""genres"": [
        ""Action"",
        ""Drama"",
        ""Adventure"",
        ""History""
    ]
}"
https://letterboxd.com/search/Shocking+Dark+1989/,"{
    ""title"": ""shocking-dark"",
    ""url"": ""https://letterboxd.com/film/shocking-dark/"",
    ""directors"": [
        ""Bruno Mattei""
    ],
    ""rating"": ""2.48 out of 5"",
    ""year"": ""1989"",
    ""genres"": [
        ""Science Fiction"",
        ""Action"",
        ""Horror""
    ]
}"
https://letterboxd.com/search/Adventures+In+Babysitting+1987/,"{
    ""title"": ""adventures-in-babysitting"",
    ""url"": ""https://letterboxd.com/film/adventures-in-babysitting/"",
    ""directors"": [
        ""Chris Columbus""
    ],
    ""rating"": ""3.42 out of 5"",
    ""year"": ""1987"",
    ""genres"": [
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Fifty+Four+1987/,
https://letterboxd.com/search/Nam+Angels+1989/,"{
    ""title"": ""nam-angels"",
    ""url"": ""https://letterboxd.com/film/nam-angels/"",
    ""directors"": [
        ""Cirio H. Santiago""
    ],
    ""rating"": ""3.14 out of 5"",
    ""year"": ""1989"",
    ""genres"": [
        ""Action"",
        ""War"",
        ""Adventure""
    ]
}"
https://letterboxd.com/search/Winnetou+I+1968/,"{
    ""title"": ""1968-a-year-of-war-turmoil-and-beyond"",
    ""url"": ""https://letterboxd.com/film/1968-a-year-of-war-turmoil-and-beyond/"",
    ""directors"": [
        ""Lyndy Saville""
    ],
    ""rating"": ""None found"",
    ""year"": ""2018"",
    ""genres"": [
        ""TV Movie"",
        ""History"",
        ""Documentary""
    ]
}"
https://letterboxd.com/search/Conspiracy+2001/,"{
    ""title"": ""conspiracy"",
    ""url"": ""https://letterboxd.com/film/conspiracy/"",
    ""directors"": [
        ""Frank Pierson""
    ],
    ""rating"": ""3.72 out of 5"",
    ""year"": ""2001"",
    ""genres"": [
        ""Drama"",
        ""TV Movie"",
        ""History"",
        ""War""
    ]
}"
https://letterboxd.com/search/Hell+House+L+L+C+2023/,
https://letterboxd.com/search/La+Habanera+1937/,"{
    ""title"": ""la-habanera"",
    ""url"": ""https://letterboxd.com/film/la-habanera/"",
    ""directors"": [
        ""Douglas Sirk""
    ],
    ""rating"": ""3.08 out of 5"",
    ""year"": ""1937"",
    ""genres"": [
        ""Drama"",
        ""Romance""
    ]
}"
https://letterboxd.com/search/First+Sunday+2008/,"{
    ""title"": ""first-sunday"",
    ""url"": ""https://letterboxd.com/film/first-sunday/"",
    ""directors"": [
        ""David E. Talbert""
    ],
    ""rating"": ""2.54 out of 5"",
    ""year"": ""2008"",
    ""genres"": [
        ""Action"",
        ""Comedy""
    ]
}"
